ITEM_SEQ,ITEM_NAME,PRINT,DRUG_SHAPE,COLOR,TYPE,LINE,TOKENIZED
201100026,모노틴정,HNM,장방형,하양,정제,-,ㅁㅗ*ㄴㅗ*ㅌㅣㄴㅈㅓㅇ
201100102,이르베탄플러스에프정,KD IF,타원형,분홍,정제,-,ㅇㅣ*ㄹㅡ*ㅂㅔ*ㅌㅏㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅇㅔ*ㅍㅡ*ㅈㅓㅇ
201100168,모프롤정,MM,장방형,하양,정제,-,ㅁㅗ*ㅍㅡ*ㄹㅗㄹㅈㅓㅇ
201100205,드림수연질캡슐25mg,RP-J,타원형,청록 투명,연질캡슐,없음,ㄷㅡ*ㄹㅣㅁㅅㅜ*ㅇㅕㄴㅈㅣㄹㅋㅐㅂㅅㅠㄹ25mg
201100216,칸살탄정16밀리그램,C16 YJP,원형,분홍,정제,-,ㅋㅏㄴㅅㅏㄹㅌㅏㄴㅈㅓㅇ16ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100215,칸살탄정8밀리그램,C8 YJP,원형,분홍,정제,-,ㅋㅏㄴㅅㅏㄹㅌㅏㄴㅈㅓㅇ8ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100231,발시버정500밀리그램,VCV,장방형,하양,정제,없음,ㅂㅏㄹㅅㅣ*ㅂㅓ*ㅈㅓㅇ500ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100273,실버셉트오디정10밀리그램,10 MI,원형,노랑,정제,없음,ㅅㅣㄹㅂㅓ*ㅅㅔㅂㅌㅡ*ㅇㅗ*ㄷㅣ*ㅈㅓㅇ10ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100298,칸데로탄정16밀리그램,ID16,원형,분홍,정제,-,ㅋㅏㄴㄷㅔ*ㄹㅗ*ㅌㅏㄴㅈㅓㅇ16ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100299,칸데로탄정8밀리그램,ID8,원형,하양,정제,-,ㅋㅏㄴㄷㅔ*ㄹㅗ*ㅌㅏㄴㅈㅓㅇ8ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100373,온글라이자정5밀리그램,5 4215,원형,분홍,정제,없음,ㅇㅗㄴㄱㅡㄹㄹㅏ*ㅇㅣ*ㅈㅏ*ㅈㅓㅇ5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100374,온글라이자정2.5밀리그램,2.5 4214,원형,노랑,정제,없음,ㅇㅗㄴㄱㅡㄹㄹㅏ*ㅇㅣ*ㅈㅏ*ㅈㅓㅇ2.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100375,애니디핀에스정5밀리그램,AS5 CKD,팔각형,하양,정제,-,ㅇㅐ*ㄴㅣ*ㄷㅣ*ㅍㅣㄴㅇㅔ*ㅅㅡ*ㅈㅓㅇ5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
